period,period_start,period_end,gdp_yoy_pct
2021-Q1,2021-01-01,2021-03-31,-8.23
2021-Q2,2021-04-01,2021-06-30,2.43
2021-Q3,2021-07-01,2021-09-30,2.53
2021-Q4,2021-10-01,2021-12-31,8.25
2022-Q1,2022-01-01,2022-03-31,3.53
2022-Q2,2022-04-01,2022-06-30,13.85
2022-Q3,2022-07-01,2022-09-30,-2.23
2022-Q4,2022-10-01,2022-12-31,-0.10
2023-Q1,2023-01-01,2023-03-31,-0.13
2023-Q2,2023-04-01,2023-06-30,7.53
2023-Q3,2023-07-01,2023-09-30,2.94
2023-Q4,2023-10-01,2023-12-31,-4.85
2024-Q1,2024-01-01,2024-03-31,4.59
2024-Q2,2024-04-01,2024-06-30,7.06
2024-Q3,2024-07-01,2024-09-30,4.61
2024-Q4,2024-10-01,2024-12-31,3.29
2025-Q1,2025-01-01,2025-03-31,4.35
2025-Q2,2025-04-01,2025-06-30,1.55
2025-Q3,2025-07-01,2025-09-30,1.71
2025-Q4,2025-10-01,2025-12-31,5.13
2026-Q1,2026-01-01,2026-03-31,5.32
