period,index_value,yoy_reported,source_page,source_version
2021-01,101.50,24.41,3,IPCN-NI-06-2026
2021-02,103.60,24.85,3,IPCN-NI-06-2026
2021-03,105.45,24.77,3,IPCN-NI-06-2026
2021-04,107.65,24.82,3,IPCN-NI-06-2026
2021-05,109.84,24.94,3,IPCN-NI-06-2026
2021-06,112.09,25.32,3,IPCN-NI-06-2026
2021-07,114.45,25.72,3,IPCN-NI-06-2026
2021-08,116.88,26.09,3,IPCN-NI-06-2026
2021-09,119.43,26.57,3,IPCN-NI-06-2026
2021-10,121.88,26.87,3,IPCN-NI-06-2026
2021-11,124.42,26.98,3,IPCN-NI-06-2026
2021-12,127.03,27.03,3,IPCN-NI-06-2026
2022-01,129.57,27.66,3,IPCN-NI-06-2026
2022-02,131.86,27.28,3,IPCN-NI-06-2026
2022-03,133.92,27.00,3,IPCN-NI-06-2026
2022-04,135.42,25.79,3,IPCN-NI-06-2026
2022-05,136.67,24.42,3,IPCN-NI-06-2026
2022-06,137.82,22.96,3,IPCN-NI-06-2026
2022-07,138.94,21.40,3,IPCN-NI-06-2026
2022-08,140.00,19.78,3,IPCN-NI-06-2026
2022-09,141.11,18.16,3,IPCN-NI-06-2026
2022-10,142.21,16.68,3,IPCN-NI-06-2026
2022-11,143.38,15.24,3,IPCN-NI-06-2026
2022-12,144.63,13.85,3,IPCN-NI-06-2026
2023-01,145.83,12.54,3,IPCN-NI-06-2026
2023-02,147.08,11.54,3,IPCN-NI-06-2026
2023-03,148.40,10.81,3,IPCN-NI-06-2026
2023-04,149.76,10.59,3,IPCN-NI-06-2026
2023-05,151.19,10.62,3,IPCN-NI-06-2026
2023-06,153.32,11.25,3,IPCN-NI-06-2026
2023-07,155.78,12.12,3,IPCN-NI-06-2026
2023-08,158.97,13.54,3,IPCN-NI-06-2026
2023-09,162.30,15.01,3,IPCN-NI-06-2026
2023-10,165.79,16.58,3,IPCN-NI-06-2026
2023-11,169.46,18.19,3,IPCN-NI-06-2026
2023-12,173.57,20.01,3,IPCN-NI-06-2026
2024-01,177.89,21.99,3,IPCN-NI-06-2026
2024-02,182.48,24.07,3,IPCN-NI-06-2026
2024-03,187.11,26.09,3,IPCN-NI-06-2026
2024-04,191.99,28.20,3,IPCN-NI-06-2026
2024-05,196.78,30.16,3,IPCN-NI-06-2026
2024-06,200.85,31.00,3,IPCN-NI-06-2026
2024-07,204.22,31.09,3,IPCN-NI-06-2026
2024-08,207.50,30.53,3,IPCN-NI-06-2026
2024-09,210.88,29.93,3,IPCN-NI-06-2026
2024-10,214.16,29.17,3,IPCN-NI-06-2026
2024-11,217.59,28.40,3,IPCN-NI-06-2026
2024-12,221.29,27.50,3,IPCN-NI-06-2026
2025-01,224.99,26.48,3,IPCN-NI-06-2026
2025-02,228.58,25.26,3,IPCN-NI-06-2026
2025-03,231.74,23.85,3,IPCN-NI-06-2026
2025-04,234.84,22.32,3,IPCN-NI-06-2026
2025-05,237.59,20.74,3,IPCN-NI-06-2026
2025-06,240.47,19.73,3,IPCN-NI-06-2026
2025-07,244.01,19.48,3,IPCN-NI-06-2026
2025-08,246.68,18.88,3,IPCN-NI-06-2026
2025-09,249.17,18.16,3,IPCN-NI-06-2026
2025-10,251.49,17.43,3,IPCN-NI-06-2026
2025-11,253.63,16.56,3,IPCN-NI-06-2026
2025-12,256.03,15.70,3,IPCN-NI-06-2026
2026-01,257.76,14.56,3,IPCN-NI-06-2026
2026-02,259.10,13.35,3,IPCN-NI-06-2026
2026-03,260.52,12.42,3,IPCN-NI-06-2026
2026-04,262.03,11.58,3,IPCN-NI-06-2026
2026-05,263.43,10.88,3,IPCN-NI-06-2026
2026-06,264.79,10.11,3,IPCN-NI-06-2026
